X,Y,Time
1312,583,74800.18000000001
1304,474,74815.84500000002
1304,474,74832.46
1231,565,74849.30500000001
1231,565,74866.49000000003
1345,483,74884.385
1310,580,74900.99000000003
1310,580,74918.62000000004
1310,580,74934.365
1294,615,74950.36500000003
1294,615,74966.235
1306,678,74983.23500000003
1306,678,75001.99500000001
1295,645,75018.16000000002
1295,645,75037.14000000003
1277,617,75053.07000000002
1277,617,75069.10000000002
1293,605,75085.38000000002
1293,605,75105.51
1228,637,75127.90000000001
1267,681,75144.24
1267,681,75159.42500000003
1330,665,75175.83
1330,665,75191.96
1307,597,75209.81000000001
1257,599,75226.09000000001
1367,601,75242.47499999999
1367,601,75258.605
1314,607,75274.65000000001
1324,676,75289.92000000003
1324,676,75305.39
1284,648,75322.24
1284,648,75337.765
1299,621,75353.59000000001
1299,621,75369.55000000003
1347,655,75386.06500000002
1347,655,75401.32000000002
1288,693,75417.39
1288,693,75436.12500000001
1284,643,75452.34000000001
1284,643,75471.92500000003
1299,610,75492.48000000003
1333,628,75510.43000000001
1333,628,75530.77
1291,642,75548.04
1291,642,75563.50000000001
1223,665,75586.37500000001
1223,665,75601.78500000002
1319,673,75618.62000000001
1301,677,75633.96500000001
1275,716,75650.15500000001
1275,716,75665.62000000001
1275,716,75681.77500000001
1338,672,75698.31000000001
1177,794,75715.645
1163,716,75735.53000000001
1186,684,75752.35000000002
1186,684,75768.265
1217,717,75785.03000000001
1217,717,75800.71500000001
1182,797,75817.80000000003
1182,797,75833.38000000002
1298,622,75850.02500000001
1298,622,75865.62000000004
1198,612,75881.90500000001
1198,612,75898.47000000002
1253,674,75916.39000000003
1253,674,75932.01000000002
1175,736,75948.71000000004
1218,714,75965.97000000002
1243,771,75982.27000000003
1243,771,75998.66500000002
1198,747,76015.41500000002
1198,747,76032.05500000001
1209,745,76048.31500000002
1274,668,76064.65500000001
1274,668,76081.89
1243,795,76103.44000000002
1211,826,76119.41000000002
1211,826,76134.87500000001
1192,696,76150.58500000004
1192,696,76166.75000000001
1236,680,76182.89500000003
1321,691,76204.44000000002
1265,697,76221.25500000002
1265,697,76237.72499999999
1260,789,76253.80500000001
1260,789,76269.44500000002
1195,696,76285.84999999999
1195,696,76301.69500000002
1167,679,76318.12500000001
1167,679,76333.69000000002
1171,751,76349.59999999999
1171,751,76365.95000000003
1146,814,76384.26500000003
1146,814,76399.50000000001
1146,814,76418.78000000001
1143,794,76434.84500000002
1143,794,76452.31000000001
1167,711,76468.51500000003
1258,804,76486.93000000001
1258,804,76503.17
1129,794,76522.30000000003
1168,799,76537.47000000002
1192,787,76553.66500000002
1192,787,76569.63000000002
1154,735,76585.66000000002
1154,735,76601.24
1209,836,76619.19000000002
1209,836,76634.765
1136,797,76650.83
1136,797,76666.88000000002
1084,792,76683.365
1073,800,76701.89
1124,811,76718.06500000002
1150,752,76733.425
1106,782,76749.92000000003
1106,782,76766.08
1106,782,76781.67500000003
1116,799,76798.455
1116,799,76814.44500000002
1239,811,76831.00000000001
1239,811,76847.02
1115,911,76867.51500000003
1144,802,76890.64500000003
1159,761,76908.02
1199,812,76924.46500000001
1155,835,76941.58
1089,761,76957.34000000001
1089,761,76973.53500000002
1178,808,76989.3
1178,808,77005.66500000002
1142,863,77021.615
1142,863,77037.05
1105,704,77053.015
1105,704,77069.665
1109,790,77085.80500000001
1109,790,77101.62500000001
1115,736,77118.675
1115,736,77134.62000000001
1115,736,77152.575
1114,752,77168.365
1114,752,77184.76
1077,745,77205.19500000002
1166,727,77221.18000000004
1166,727,77236.93500000001
1188,838,77255.33500000004
1176,793,77271.27
1167,750,77290.95500000003
1167,750,77307.12000000001
1216,737,77324.16500000002
1216,737,77340.37000000004
1238,669,77356.08
1238,669,77372.295
1182,658,77389.02500000004
1058,664,77404.54000000002
1061,771,77421.19499999999
1061,771,77436.765
996,605,77453.07000000002
1089,754,77468.66000000002
1075,789,77485.01500000003
1075,789,77500.47000000002
1075,789,77517.57000000002
1098,738,77536.48500000003
1125,770,77552.25500000002
1129,755,77572.80000000003
1055,781,77593.74500000001
1055,781,77612.78500000002
1042,840,77633.94000000002
1042,840,77649.49500000001
1028,868,77666.365
1046,836,77682.09000000001
1110,727,77698.03000000001
1120,704,77713.53000000001
1091,745,77734.35000000002
1040,694,77752.21
1040,694,77768.04500000003
1049,727,77784.85500000003
1019,736,77800.37500000001
991,747,77816.68500000004
1011,714,77836.15500000001
987,750,77855.13500000002
987,750,77876.66000000002
1095,724,77897.35500000003
1007,783,77912.69000000002
1054,683,77932.40500000001
1054,683,77948.43000000004
996,802,77964.95500000003
996,802,77980.65000000001
964,778,77999.96
964,778,78018.00000000001
967,760,78034.05000000003
967,760,78049.86000000003
975,861,78066.85000000002
975,742,78084.67
902,791,78100.47500000002
893,779,78117.03500000002
911,782,78133.425
1100,760,78149.53500000002
1100,760,78166.635
1153,809,78184.17000000003
1162,830,78200.34000000001
1065,799,78216.80000000003
944,747,78232.205
944,747,78248.25000000001
960,708,78264.53500000002
960,708,78279.93500000001
1005,854,78296.34500000002
1005,854,78314.35000000002
918,814,78330.50500000002
918,814,78345.97000000002
1026,711,78362.07000000002
1034,725,78381.01000000002
993,791,78397.01000000002
993,791,78412.88500000002
