X,Y,Time
820,472,71697.7250000001
820,472,71712.87000000058
820,472,71730.6650000005
864,467,71746.16500000004
864,467,71762.21000000043
898,454,71779.45000000019
898,454,71796.95500000054
905,428,71813.18500000006
879,390,71828.48000000045
929,376,71845.63500000024
929,376,71861.95500000054
939,439,71878.57000000076
939,439,71897.23500000034
982,442,71914.26500000013
937,376,71929.43500000006
910,360,71945.64500000048
910,360,71962.51000000071
967,440,71980.38500000071
905,534,71996.16999999993
901,543,72012.13500000024
906,528,72033.03500000015
903,559,72049.29500000039
881,559,72066.96500000032
879,524,72082.77500000037
903,502,72097.92000000039
904,505,72114.47500000056
904,505,72129.58500000043
834,526,72145.12500000047
834,526,72165.90500000073
951,353,72182.78500000015
951,353,72198.28000000026
867,481,72216.13000000035
867,481,72231.30500000063
937,444,72247.17500000028
937,444,72262.36500000022
917,368,72278.24000000022
855,319,72299.5700000003
941,290,72316.72000000067
923,263,72336.73500000034
923,263,72352.07500000065
910,262,72367.58499999996
910,262,72385.1400000006
942,308,72401.13500000024
931,416,72416.7250000001
792,441,72434.0700000003
792,441,72449.63000000035
792,441,72464.39500000002
896,249,72480.37000000058
919,227,72496.5400000005
838,298,72511.99000000022
852,290,72527.91000000061
905,256,72544.90000000037
905,256,72562.23000000045
902,314,72577.46000000043
902,314,72594.18000000017
747,390,72611
745,414,72631.64000000013
984,310,72647.17500000028
984,310,72664.53000000026
878,491,72681.68000000017
878,491,72697.6400000006
967,375,72715.12500000047
909,515,72730.89500000048
869,499,72748.38500000024
957,421,72763.44000000041
957,421,72779.45500000007
957,421,72794.63000000035
851,422,72812.04500000039
851,422,72829.33000000007
1034,403,72844.9750000001
1034,403,72861.14000000013
877,450,72877.20000000019
823,457,72894.27000000048
970,447,72910.78000000026
970,447,72926.74000000022
867,414,72943.8200000003
930,375,72962.04000000004
996,419,72980.11500000069
996,419,72997.09000000032
1032,448,73012.52500000037
1032,448,73027.66000000061
1028,434,73044.81000000052
1028,434,73061.39500000048
1065,328,73078.83500000043
1065,328,73094.61000000034
1132,382,73111.11000000034
1132,382,73129.73500000034
1123,375,73145.02500000037
1123,375,73160.47500000056
1107,323,73177.15500000073
1107,323,73197.04499999993
1038,408,73214.14000000013
1038,408,73229.98000000045
1089,525,73245.51500000013
1089,525,73261.125
1142,417,73277.1400000006
